,GSM1519728_Ji-Batch3-1_PrimeView_.CEL.gz,GSM1519729_Ji-Batch3-10_PrimeView_.CEL.gz,GSM1519730_Ji-Batch3-11_PrimeView_.CEL.gz,GSM1519731_Ji-Batch3-12_PrimeView_.CEL.gz,GSM1519732_Ji-Batch3-13_PrimeView_.CEL.gz
UBE2Q1,9.126629882,8.866834258,8.829222219,8.841945979,8.900691353
RNF14,7.711280676,8.344759606,8.029720778,8.195992449,7.915932527
UBE2Q2,7.19677111,6.671859262,7.326183817,7.029147192,7.132152869
RNF10,9.337625499,6.493920801,7.522387654,7.180517482,12.0212638
RNF11,8.28082737,8.752636442,9.389356521,9.275790982,8.941339803
RNF13,11.41107938,11.40792394,11.67567435,11.55088964,11.08669668
LOC339240,5.604172224,5.78392599,5.754913796,5.880339295,5.651959929
REM1,5.836670183,6.32392353,5.876849681,5.803466569,5.67811554
REM2,7.52737055,7.663779842,7.34023759,7.564239253,6.932201051
RTN4RL2,6.753270054,6.423985432,6.542497193,6.703548019,6.632795194
SLC17A2,4.301145209,4.355623924,4.383948619,4.296674974,4.28867396
C16orf13,8.055662015,8.075051834,8.037288554,7.962229826,8.0573053
C16orf11,6.84396275,6.83060068,7.069529865,6.853984756,7.034342732
RNF17,4.309863515,4.33029098,4.311690687,4.16343858,4.150925807
MZT2A,9.238219302,8.642915759,8.440664059,8.842461926,8.591260781
MZT2B,8.691929954,8.435057289,8.212578696,8.510601396,8.372272856
CHMP1B,11.24083042,11.06251179,11.3415529,11.4639431,11.01798567
PMM2,5.11668011,5.001241655,4.783626612,5.020871821,5.133341523
UBE2F,7.828072425,7.683529844,7.927751598,7.919777618,7.925221735
PMM1,7.843321107,7.757495709,7.72094755,7.587530913,7.53892026
ASS1,6.450438285,5.986048707,6.25041341,5.651739388,6.020071661
FHIT,7.239204658,7.59701033,7.026480256,6.827999808,7.662321488
ZNF709,6.290863225,6.339416883,6.087612179,5.881771451,6.110341483
ZNF708,7.791609746,7.71361611,7.713285695,8.060268111,7.965184316
ZNF879,5.306146146,5.979201517,5.936772892,5.53235174,5.745480247
ZNF878,3.893036938,3.815019294,3.890328913,3.75295744,3.8228806
CBX3,11.49583373,11.77547443,11.94307385,11.69105034,11.54320074
DISC1,5.285692325,5.154575115,5.457185523,5.474247682,5.267360124
CAMK1,7.195347249,7.482193874,6.936301397,6.903811531,7.069770962
RPL37,10.61241303,10.41276956,10.38599579,10.28370026,10.61241303
SPR,6.369899855,6.411700926,6.30600808,6.201805948,6.284754795
ZNF700,8.516746505,8.753180068,8.611324297,8.474824687,8.57597105
ZNF707,6.515728191,6.568550804,6.470324447,6.374119175,6.458639369
ZNF706,7.944432451,8.005299477,8.31963425,7.891248005,8.084644679
ZNF704,5.17357925,4.782415571,4.831268748,4.698129721,4.927689945
ZC3H10,7.097990666,7.332319227,7.21606631,7.023991736,6.946448473
RNF114,8.030078844,8.10211035,8.036872041,7.965613384,8.100716076
RNF115,8.470665831,8.225702927,8.550923016,8.132677853,8.168921821
RNF112,6.266379495,6.262479386,6.296777535,6.413448185,6.179029461
ZC3H14,7.687555147,7.734801745,8.041193186,7.721884833,7.861605582
SPN,9.731641996,9.378588195,9.601939511,9.293657311,9.371984463
RNF111,7.668400918,7.978448691,7.729868278,7.915565628,7.852710446
IQCA1,5.28025785,5.448863936,5.177614522,5.420829735,5.356752232
ZC3H18,7.167414346,7.205778221,7.145633049,7.000098001,7.193480097
GRIN1,5.365180707,5.664197675,5.369976818,5.774163048,5.485372036
LOC100506548,7.454042153,7.360984645,7.26721685,7.338755808,7.47081599
FOXQ1,4.635484853,4.512144362,4.84376446,4.577316428,4.678791036
SP9,6.777132336,6.978143684,6.807126582,7.122275056,7.001116971
TCOF1,7.069770962,7.022101433,7.01715185,7.097990666,7.188796955
LRRTM3,4.058847058,4.0435764,4.125298145,4.11583961,4.136287941
NUP98,8.950885541,9.156911913,8.886012974,8.827809129,8.562432083
XPC,8.925748329,9.278671743,8.937414146,9.05447226,8.688788567
SP1,10.72758619,10.67494495,10.36377142,10.25833195,6.781175612
GRINA,8.349463273,8.917664568,8.473800365,8.770179264,8.645575259
SP3,8.448434243,8.307151762,8.689806971,8.385416949,8.327423265
SP4,6.978684592,5.757683232,6.862388951,7.065517645,5.909793626
SP5,5.42598993,5.668648219,5.599626209,5.585388002,5.639650277
SP6,5.013474443,5.219766985,5.100206387,5.04071012,5.089525191
SP7,5.394336416,5.413526049,5.442898947,5.503090655,5.458684872
OR5B3,5.468757026,5.328743889,5.571233599,5.442737931,5.622396737
GOLIM4,5.743266979,6.220084463,5.987063555,5.529642919,5.474017953
OPA3,7.010180003,6.903811531,6.86943645,6.786852375,7.025330959
OPA1,7.324248907,7.439597713,7.424716534,6.991586048,7.117734957
RAB40C,8.189514657,8.192117179,8.020626863,8.210173548,8.223591308
GPR119,5.629368827,5.267087149,5.523068583,5.601530798,5.661106806
RAB40A,4.52001465,4.709596415,4.615949141,4.488093881,4.59409083
FBL,11.37806317,10.98562984,10.91365501,10.74300282,11.24652308
COL7A1,6.70685486,6.320152173,6.457777895,6.476230471,6.556797294
MDP1,7.965184316,7.985458884,7.734437898,7.746671106,7.656321341
GTSE1,5.117216851,4.986702264,4.945380122,5.173068237,5.324110869
FAM183A,4.661231625,4.581588314,4.781028071,4.484951583,4.618934573
OVCH2,4.067552833,4.198228075,4.013940294,4.09502001,4.315573019
OVCH1,4.036557265,4.325528866,4.230352749,3.986284574,4.180706992
FAM183B,5.928216225,5.88204061,5.749671065,5.736267801,5.638913401
PMS2CL,3.99748557,4.037852055,4.150382362,3.784874795,4.073191478
SPPL2A,10.91982004,10.98914667,11.24083042,10.82214778,10.73381315
SPPL2B,6.56020546,6.471641847,6.519011791,6.393097186,6.474100257
FLJ44881,3.960433135,4.095319294,3.959332821,3.874697454,4.0435764
FAM116B,7.160145998,7.423562019,7.193480097,7.29616994,7.15401088
NSL1,6.632209182,6.639908309,6.761898126,6.462761321,6.293352404
ITGA9,5.603432738,5.325706502,5.212220749,5.322665361,5.334773068
UGCG,9.284448349,10.01349775,9.440844743,9.019089843,9.240072746
MYO3B,4.464121564,4.382608304,4.376047001,4.726032049,4.314190495
ATP2A1,5.00076058,5.014798328,5.358960002,5.186965992,5.248993016
ATP2A2,7.882253239,7.871602085,8.021740893,7.352345466,7.635897933
ATP2A3,6.232717206,6.229829641,7.827369766,6.297737964,5.925957511
ITGA1,4.363936701,4.267799346,4.60085376,4.280711017,4.168352558
ITGA2,4.45872035,4.633363073,4.770941474,4.435451465,4.737287932
NOP2,7.418723528,7.320614483,7.246308462,7.208072686,7.308988561
ITGA4,7.623928369,7.515418488,7.727106803,7.63784424,8.007895468
ITGA5,7.382665006,7.291726564,7.090751262,7.229092655,7.118017699
RIT1,9.374178922,9.103558469,9.024215788,9.482165642,8.859029104
ITGA7,5.377880768,5.634122502,5.192068381,5.231327134,5.226393811
